acao_realizada;caracteristica_acao;n_profissionais_atendidos;descricao_acao;data_acao;data_publicacao;municipio_atendido;user_id
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Envio de e-mail notificando os municípios que ainda não finalizaram o preenchimento do Censo SUAS;06/01/2022;17/08/2022;***Todos os municípios;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Acesso ao RA 2021;06/01/2022;17/08/2022;Castanheira;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA - acesso ao demonstrativo;21/02/2022;17/08/2022;Chapada dos Guimarães;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;18/02/2022;17/08/2022;Jaciara;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;18/02/2022;17/08/2022;Indiavaí;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;18/02/2022;17/08/2022;Nossa Senhora do Livramento;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;18/02/2022;17/08/2022;Cocalinho;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;18/02/2022;17/08/2022;Nova Nazaré;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;18/02/2022;17/08/2022;Vale de São Domingos;1
Apoio Tecnico Presencial (ATP);Apoio técnico individualizado na SAAS;0;Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of;18/02/2022;17/08/2022;Poxoréu;1
Outras Ações;Manifestação Técnica;0;Orientação técnica ao município de Paranaíta, sobre denúncias de irregularidades na gestão da Sec. de A. Social;18/02/2022;17/08/2022;Cuiabá;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;17/02/2022;17/08/2022;São José do Xingu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;17/02/2022;17/08/2022;Juara;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre prestação de contas FEAS 2021;17/02/2022;17/08/2022;Feliz Natal;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;17/02/2022;17/08/2022;São Pedro da Cipa;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;17/02/2022;17/08/2022;Santa Rita do Trivelato;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;17/02/2022;17/08/2022;Salto do Céu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Reprogramação de Recursos do SUAS;17/02/2022;17/08/2022;Araputanga;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Utilização do Prontuário SUAS no município;06/01/2022;17/08/2022;Sinop;1
Apoio Tecnico Não Presencial (ATNP);Videoconferências e transmissões ao vivo;0;Orientação via videoconferencia referente a gestão do trabalho, educação permanente e implantação do NUMEP;17/02/2022;17/08/2022;Juína;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;16/02/2022;17/08/2022;Campinápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre execução dos recursos do IGD PB;16/02/2022;17/08/2022;São José dos Quatro Marcos;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;16/02/2022;17/08/2022;Juína;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;"Orientações sobre o Demonstrativo Físico Financeiro 2020
";16/02/2022;17/08/2022;Poxoréu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;16/02/2022;17/08/2022;Pedra Preta;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Preenchimento do Censo SUAS 2021;06/01/2022;17/08/2022;Pedra Preta;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;CENSOSUAS 2021.;06/01/2022;17/08/2022;Campos de Júlio;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente á organização do cadsuas do CMAS (secretaria executiva);16/02/2022;17/08/2022;Campinápolis;1
Apoio Tecnico Não Presencial (ATNP);Videoconferências e transmissões ao vivo;0;Atendimento via videochamada referente aos sistemas cadsuas e SAA - indicação de adjunto;16/02/2022;17/08/2022;Barão de Melgaço;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente a nomeação de gestora, pois o municipio nos comunica que estão sem gestora.;16/02/2022;17/08/2022;Santa Carmem;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA - vincular e delegar perfil;16/02/2022;17/08/2022;Porto Alegre do Norte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao acesso da secretaria executiva do CMAS ao sistema SAA;16/02/2022;17/08/2022;Rondonópolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;15/02/2022;17/08/2022;Campinápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Plano de ação FEAS 2022;15/02/2022;17/08/2022;São José do Rio Claro;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;15/02/2022;17/08/2022;Cotriguaçu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre prestação e plano de ação FEAS e envio de link de acesso;15/02/2022;17/08/2022;Jaciara;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;15/02/2022;17/08/2022;Santa Cruz do Xingu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre prestação e plano de ação FEAS;15/02/2022;17/08/2022;Guiratinga;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;15/02/2022;17/08/2022;Ribeirão Cascalheira;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;15/02/2022;17/08/2022;Nova Xavantina;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação passo a passo da realização do acesso ao sistema SAA para a presidente do CMAS;15/02/2022;17/08/2022;Campinápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sisterma SAA - prontuario (acesso);15/02/2022;17/08/2022;Terra Nova do Norte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao cadastro de unidade no sistema cadsuas;15/02/2022;17/08/2022;Pontes e Lacerda;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;orientação referente ao acesso ao sistema SAA pela presidente do CMAS;15/02/2022;17/08/2022;Juína;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Reprogramação de saldos;14/02/2022;17/08/2022;Tabaporã;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;14/02/2022;17/08/2022;Campinápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre reprogramação de saldos;14/02/2022;17/08/2022;Nobres;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;14/02/2022;17/08/2022;Nova Maringá;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA - delegar perfil pra tecnica de referencia;14/02/2022;17/08/2022;Terra Nova do Norte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente aos sistemas cadsuas e SAA - troca de presidente do CMAS;14/02/2022;17/08/2022;Lambari D'Oeste;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Atendimento referente a ativação de perfil de acesso aos sistemas Rede Suas da presidente do CMAS;14/02/2022;17/08/2022;Campinápolis;1
